"","distance","plant_pathway_induced","sample_name","Experiment","NMDS1","NMDS2","NMDS1_centroid","NMDS2_centroid"
"93","bray","SA","87_ch_ITS","cond_real_insects",0.150834659360295,-0.0595701950569869,-0.0301051006020984,0.00407691807718495
"94","bray","SA","109_ch_ITS","cond_real_insects",0.0177760420588133,0.118773637712964,-0.0301051006020984,0.00407691807718495
"95","bray","SA","89_ch_ITS","cond_real_insects",-0.0879038447030976,0.302648725114535,-0.0301051006020984,0.00407691807718495
"96","bray","SA","94_ch_ITS","cond_real_insects",0.190167275461076,-0.0747149160769905,-0.0301051006020984,0.00407691807718495
"97","bray","SA","129_ch_ITS","cond_real_insects",-0.0772735583207465,0.0587068124942917,-0.0301051006020984,0.00407691807718495
"98","bray","SA","104_ch_ITS","cond_real_insects",-0.0265061840535242,-0.22377287635955,-0.0301051006020984,0.00407691807718495
"99","bray","SA","93_ch_ITS","cond_real_insects",-0.0568394262535964,-0.172876637398474,-0.0301051006020984,0.00407691807718495
"100","bray","SA","118_ch_ITS","cond_real_insects",0.0162663080477282,-0.15465633546622,-0.0301051006020984,0.00407691807718495
"101","bray","SA","122_ch_ITS","cond_real_insects",-0.111350384796336,-0.0321006124033992,-0.0301051006020984,0.00407691807718495
"102","bray","SA","101_ch_ITS","cond_real_insects",0.265618796043933,0.303551091025798,-0.0301051006020984,0.00407691807718495
"103","bray","SA","98_ch_ITS","cond_real_insects",-0.20428360185524,0.0170976948830848,-0.0301051006020984,0.00407691807718495
"104","bray","SA","130_ch_ITS","cond_real_insects",-0.0485382555363606,-0.0146093186610071,-0.0301051006020984,0.00407691807718495
"105","uni","control","127_ch_ITS","cond_real_insects",-0.103436428793565,0.249946146622037,0.00913512202326161,0.0561575446886448
"106","uni","control","96_ch_ITS","cond_real_insects",-0.195773620363066,-0.0376426431388437,0.00913512202326161,0.0561575446886448
"107","uni","control","105_ch_ITS","cond_real_insects",0.120553621513449,0.0686583751429674,0.00913512202326161,0.0561575446886448
"108","uni","control","110_ch_ITS","cond_real_insects",-0.179757193108439,0.178207376447896,0.00913512202326161,0.0561575446886448
"109","uni","control","119_ch_ITS","cond_real_insects",-0.011855731399068,0.0965528849693119,0.00913512202326161,0.0561575446886448
"110","uni","control","88_ch_ITS","cond_real_insects",0.00702933403239348,0.0716855681283995,0.00913512202326161,0.0561575446886448
"111","uni","control","99_ch_ITS","cond_real_insects",-0.183697090584294,0.1409766546776,0.00913512202326161,0.0561575446886448
"112","uni","control","112_ch_ITS","cond_real_insects",-0.169840094529631,0.10635053969725,0.00913512202326161,0.0561575446886448
"113","uni","control","121_ch_ITS","cond_real_insects",-0.0453412371225971,-0.0116807736367942,0.00913512202326161,0.0561575446886448
"114","uni","control","92_ch_ITS","cond_real_insects",0.0156215059681625,-0.273730311482239,0.00913512202326161,0.0561575446886448
"115","uni","control","126_ch_ITS","cond_real_insects",0.307961247449956,0.123587961806895,0.00913512202326161,0.0561575446886448
"116","uni","control","107_ch_ITS","cond_real_insects",0.205821542073053,0.0345840595404795,0.00913512202326161,0.0561575446886448
"117","uni","control","86_ch_ITS","cond_real_insects",0.275674736192582,-0.170826638471318,0.00913512202326161,0.0561575446886448
"118","uni","control","132_ch_ITS","cond_real_insects",-0.102003379492985,0.152182301649959,0.00913512202326161,0.0561575446886448
"119","uni","control","102_ch_ITS","cond_real_insects",0.196069618512973,0.113511668376072,0.00913512202326161,0.0561575446886448
"120","uni","JA","91_ch_ITS","cond_real_insects",-0.0591586559531973,-0.309723519245788,0.0120985429762893,-0.0506355694939387
"121","uni","JA","97_ch_ITS","cond_real_insects",-0.189832437227292,-0.233721905512467,0.0120985429762893,-0.0506355694939387
"122","uni","JA","116_ch_ITS","cond_real_insects",0.0714873020066045,-0.167588132970428,0.0120985429762893,-0.0506355694939387
"123","uni","JA","90_ch_ITS","cond_real_insects",-0.234267020271547,-0.1380818843788,0.0120985429762893,-0.0506355694939387
"124","uni","JA","100_ch_ITS","cond_real_insects",0.25078007744843,-0.0465796818410506,0.0120985429762893,-0.0506355694939387
"125","uni","JA","131_ch_ITS","cond_real_insects",0.137755602781547,-0.164736456703007,0.0120985429762893,-0.0506355694939387
"126","uni","JA","111_ch_ITS","cond_real_insects",-0.102442676107805,0.0345274520267565,0.0120985429762893,-0.0506355694939387
"127","uni","JA","85_ch_ITS","cond_real_insects",-0.0682127910436384,-0.14321031147424,0.0120985429762893,-0.0506355694939387
"128","uni","JA","103_ch_ITS","cond_real_insects",-0.051719866929536,-0.233177036709904,0.0120985429762893,-0.0506355694939387
"129","uni","JA","106_ch_ITS","cond_real_insects",-0.0589866037196306,0.186793705402795,0.0120985429762893,-0.0506355694939387
